100 4522
23 59 8784
43 82 3794
71 24 4815
15 12 6787
29 96 7282
98 80 9152
59 25 4489
92 76 6188
2 8 6101
99 90 8496
6 3 1743
69 99 7665
19 62 3408
95 68 1084
51 72 723
69 15 957
22 1 6118
47 63 1337
79 73 189
45 68 5377
60 18 4791
0 83 4685
65 38 4667
76 4 8561
47 82 1325
24 31 5318
14 45 2181
63 67 6271
78 66 5186
16 48 6184
40 0 1918
25 18 7376
54 99 1166
61 90 3132
42 4 5058
31 99 2586
30 64 4285
60 83 7828
97 47 1297
48 79 1923
83 90 6405
93 42 6540
84 66 5632
34 40 8617
46 30 4300
44 28 7884
64 95 2627
21 84 9307
20 32 5288
36 80 629
49 83 5151
91 38 2270
69 80 7423
4 35 8244
48 34 6228
31 21 9000
46 88 1671
31 66 2687
46 38 5511
83 85 3741
43 69 7880
64 65 2605
24 42 3844
73 4 5757
55 24 3792
22 39 5928
77 65 2961
20 10 8387
13 67 5090
32 47 9190
43 97 981
77 20 2924
81 95 8092
86 29 2813
91 67 3543
89 57 52
79 14 6225
27 28 2710
44 36 6591
56 83 243
48 89 6853
7 87 4332
35 96 7612
87 68 3024
8 72 6751
39 24 8154
29 74 3336
46 98 6819
89 6 5266
92 65 3341
16 74 5496
50 84 1100
70 97 8000
52 1 1554
37 28 7067
53 49 2034
29 47 1763
57 39 8182
11 90 1357
3 56 8838
25 47 9907
20 92 4400
60 84 8414
12 34 4181
57 19 6657
31 81 4953
94 22 2482
69 56 1698
17 18 5139
39 94 5151
15 69 2614
81 71 3863
77 74 3212
28 69 9071
84 1 12
36 14 3966
56 51 5787
1 32 9922
34 56 4545
10 67 7067
5 43 377
91 88 7457
74 16 5681
56 15 8170
89 72 4498
32 29 780
39 78 4759
77 72 7924
38 2 9469
91 1 4373
10 51 8953
26 24 4263
9 11 2145
13 27 9160
26 13 3256
5 34 4656
67 55 8328
4 12 8825
19 79 6372
51 93 9353
54 5 8610
0 34 4850
53 2 6093
51 1 3485
40 92 4166
71 10 6992
99 84 1365
41 26 3945
28 71 5306
68 39 8088
63 42 3825
66 27 1997
8 99 527
38 30 1364
6 50 7272
20 43 7675
34 48 3949
72 23 5868
64 31 1645
30 75 7602
5 66 103
14 43 8723
35 23 2320
14 56 625
90 17 4501
40 5 8703
89 10 9325
22 60 1554
38 63 3247
41 42 7126
1 87 5770
12 91 90
34 43 6725
21 68 7908
89 65 3337
31 10 1869
61 94 7389
5 24 5491
18 66 2321
0 65 109
24 78 7762
9 46 4006
67 25 9779
48 59 7935
66 13 5692
27 65 3056
19 85 8890
3 7 9841
24 74 8133
54 91 2897
41 92 4681
54 22 4538
20 52 714
28 15 3840
62 40 3519
30 97 824
28 23 1895
97 33 1108
43 32 4910
16 35 6277
55 34 428
86 50 6416
91 43 6537
31 61 1615
16 68 1161
35 98 8809
79 9 76
43 84 5293
25 80 1104
69 45 6259
55 31 1323
55 92 2273
57 47 6827
89 37 3997
38 50 3755
14 48 4487
26 46 6204
30 3 6944
80 99 1922
23 16 7689
73 10 1245
35 97 6807
71 95 4019
14 80 3444
6 41 88
51 14 2682
31 71 5859
96 62 8120
33 15 7891
87 90 8293
2 16 9242
9 34 7719
17 1 586
20 46 7244
86 45 8902
16 69 3735
92 74 2914
17 5 9218
47 70 6930
91 87 1630
61 78 7708
87 26 529
19 60 8090
82 25 6406
22 11 4993
31 37 8577
82 95 6182
55 89 1660
70 37 3988
79 88 9080
30 39 3392
15 21 3988
91 75 3070
37 73 2708
33 85 9558
64 57 9867
49 39 5972
72 16 5318
35 74 7109
75 9 2624
55 20 3462
17 54 3799
89 47 6054
14 77 9094
5 67 5861
55 0 6602
59 15 2621
64 18 3029
25 74 7541
52 15 3321
51 25 5378
87 70 9394
9 50 3710
3 14 1966
31 62 1563
72 74 3217
97 56 1264
5 70 7672
66 7 4505
30 14 3998
59 96 5301
28 14 4670
90 6 1008
8 67 2930
15 74 5231
15 0 9544
38 55 1412
60 33 8331
53 16 1602
83 96 7443
40 39 1805
34 88 8320
29 2 3
14 28 5195
54 58 1294
38 6 4905
11 29 8626
49 71 409
39 17 5241
90 47 2159
53 58 6305
6 82 4104
21 48 1638
12 18 4228
42 88 3084
86 26 175
18 73 3848
83 71 9435
81 72 8307
51 87 8323
71 9 8196
29 84 4171
58 12 415
72 66 4348
34 71 200
29 13 8785
19 13 6597
93 92 2976
78 59 5606
65 85 3431
93 87 9209
12 65 4790
3 92 4064
3 58 4825
0 16 3841
83 9 6368
60 7 8265
93 32 1824
1 26 3537
24 11 811
7 0 4769
49 7 4611
57 98 3572
87 0 1172
69 31 9628
15 11 6982
52 22 8645
88 34 1895
8 60 9924
31 46 7904
46 59 2697
53 14 4457
71 64 4144
48 94 7980
51 64 5625
80 53 8553
55 61 6983
65 35 9109
59 58 8184
88 11 7085
44 50 9000
38 29 4078
37 26 4531
21 24 9203
72 92 9409
89 49 1432
93 97 745
89 53 5612
64 33 7307
10 7 9453
59 4 9803
92 59 4482
76 12 1923
21 77 2453
90 65 5476
15 68 4213
7 17 2196
58 40 7492
49 31 3030
10 93 4158
60 52 1216
48 84 6393
58 30 8143
90 19 8635
65 36 3090
52 5 6014
93 33 3762
95 99 7373
47 54 3583
58 76 4499
77 57 8285
15 91 2307
60 9 4418
13 83 8743
80 85 7962
99 80 9292
74 92 2873
6 49 36
42 80 3328
93 16 6062
41 53 1952
19 11 6876
20 78 89
1 90 6367
24 68 9562
71 86 1412
41 35 7231
77 95 268
96 55 4511
57 15 4755
4 80 1556
48 54 5662
97 48 2638
21 85 6323
94 40 4983
53 93 140
70 14 6782
31 14 5191
61 92 6469
8 10 3816
79 85 5354
90 26 3350
92 91 9851
88 35 7019
15 89 5699
69 95 459
63 60 3499
51 46 9396
16 14 8265
95 26 3791
85 11 2766
90 66 9469
89 18 1431
26 12 5675
83 74 9852
79 61 8925
84 43 6678
32 86 3683
52 32 6361
55 46 7721
20 2 8024
15 32 6210
25 30 4960
16 85 7772
74 52 1107
94 8 171
89 36 5399
50 53 9487
40 6 3803
44 6 9522
36 35 3889
78 89 979
67 32 7738
45 21 9539
39 87 6126
42 81 8118
8 17 7086
9 83 2184
9 63 1872
65 60 9759
83 30 5131
49 73 5739
72 46 6316
90 37 1634
99 82 5279
14 52 8278
26 69 8002
36 33 4358
20 98 8342
24 62 9932
71 36 5050
91 35 8806
73 69 1367
18 93 8892
73 3 5048
74 29 242
48 30 771
91 89 4260
66 4 7932
53 15 436
97 77 3930
99 74 6791
40 53 5754
45 60 4282
50 95 689
51 12 7677
41 19 3083
8 76 9811
0 15 464
40 32 7021
35 37 2191
73 60 2143
97 86 5673
40 43 5377
11 56 4136
26 60 3608
38 7 640
28 21 2144
82 93 5173
44 35 7274
66 61 7451
12 23 4207
82 68 7515
63 68 2750
49 79 3055
11 64 7017
88 59 9112
49 47 1810
31 64 5146
88 15 3826
80 93 795
35 63 5657
49 89 4233
41 74 2001
95 20 6713
46 4 8359
45 49 344
76 59 7566
5 1 5573
34 68 3047
22 27 101
38 8 9366
10 95 3311
62 38 9053
77 22 1028
56 59 2999
96 67 4307
39 62 5015
38 23 9276
81 74 1005
17 57 3451
60 91 6445
41 22 8446
85 60 9003
19 61 444
72 75 1312
82 53 9929
77 92 9212
20 82 3066
93 98 8491
54 62 9144
63 10 9759
13 81 5311
12 38 3618
14 84 922
12 5 5445
66 79 3409
78 67 3442
89 90 9305
31 68 2683
27 99 9940
4 58 7782
56 17 9741
66 19 6781
93 38 3625
1 84 58
79 63 7578
32 43 1821
38 52 7050
79 75 9304
31 42 4374
64 1 2126
71 53 9999
92 4 7362
71 58 6896
53 43 3712
44 65 7926
98 76 150
90 52 1120
43 41 2237
2 38 9236
55 29 6916
45 13 1319
98 6 6516
53 13 3012
32 0 7304
32 7 5879
1 31 2950
7 80 1442
50 99 9982
1 97 5882
27 37 605
46 6 8909
70 13 8370
81 96 4897
5 35 2128
3 16 613
28 36 7261
43 94 538
93 31 9135
14 73 4937
65 56 6617
66 85 1075
4 26 1799
20 72 7534
18 83 9539
28 25 6003
79 7 2648
43 46 2449
10 42 4017
43 58 9345
11 42 49
7 71 576
65 15 5102
47 2 4553
29 94 5511
22 47 9265
53 30 5032
21 10 9401
94 53 5959
58 62 8370
35 90 9521
92 42 1570
67 85 1857
48 16 2562
73 94 948
20 31 467
89 1 2622
78 33 4439
37 49 5546
22 21 191
94 73 6792
40 37 3052
47 91 9642
14 54 7090
88 95 1895
57 56 7047
13 46 7818
4 61 6137
32 25 2423
13 28 1220
12 92 8186
34 72 195
15 95 6026
53 41 7960
93 89 2255
31 44 3194
29 67 9663
62 4 1742
47 26 3874
47 60 1351
9 68 2051
1 14 7801
74 66 3732
40 64 4619
17 91 2509
53 84 2495
99 16 3181
97 69 6950
79 80 3520
79 0 3116
86 1 261
75 8 2317
32 45 6968
58 36 5293
29 32 2793
56 95 331
34 35 6095
48 76 794
35 15 6947
46 14 5532
29 50 3681
13 36 418
16 39 2999
99 42 17
40 91 4308
92 95 7170
79 35 7878
0 6 9489
54 79 7441
38 17 1524
80 62 8491
99 51 177
79 22 994
52 33 16
30 71 4791
31 11 1793
68 25 9837
15 25 4771
44 51 594
87 89 9170
47 75 1650
6 9 3251
94 55 749
90 75 5700
83 6 5178
36 8 40
63 0 3673
74 97 836
58 49 7388
31 85 9871
47 32 4801
63 35 1071
42 13 6450
79 1 9764
73 59 4539
19 38 4848
34 16 4346
53 74 9628
91 78 727
81 10 8993
68 23 5783
44 52 6377
59 10 7743
15 5 169
61 25 4646
94 51 6973
39 43 655
48 35 6635
30 86 5964
93 86 5563
7 56 9659
42 74 8084
14 63 4203
58 16 2730
25 37 5541
75 95 8865
95 17 4680
66 74 7733
3 89 3322
84 94 677
22 24 8776
2 69 9517
95 62 2948
24 14 9026
10 90 1702
42 56 1060
23 97 1566
6 84 95
57 37 4717
16 67 5743
4 25 3409
69 47 5359
58 23 4193
75 88 3433
8 22 9401
12 62 5330
73 0 1224
90 63 3361
80 2 7388
29 26 3210
26 90 7486
63 24 8518
54 82 2232
61 21 2120
38 15 642
86 67 2173
31 34 6428
55 1 2843
97 35 8331
9 23 4299
24 96 1156
70 88 1489
53 31 6402
57 77 4890
17 55 177
91 45 6573
1 2 6864
37 35 9900
37 45 2402
69 51 5555
64 30 9221
53 26 1408
1 94 1776
52 14 1471
66 18 199
75 56 283
27 55 6761
17 36 8313
13 42 3987
69 3 4727
42 71 1416
29 57 8250
89 69 88
43 9 902
1 52 7760
94 90 186
38 90 5563
69 76 9168
75 67 7233
70 77 7409
29 97 5065
28 73 2106
88 24 5845
9 16 7297
94 34 3601
83 20 5850
34 30 3655
30 52 8438
8 55 1598
92 53 2880
82 21 8856
92 50 3750
65 76 3121
92 68 7836
83 75 9090
80 84 4690
91 74 5415
69 24 2738
0 5 8566
66 36 6273
28 0 1013
72 18 2595
50 47 6675
34 22 6518
65 74 4820
91 8 2035
94 92 4175
46 64 4337
41 73 9738
82 44 1177
22 14 1011
81 39 2105
37 71 9768
82 20 7509
15 48 1318
99 30 7651
38 91 7230
14 86 8078
99 58 793
71 18 3302
6 43 4998
4 77 7344
12 45 4066
10 96 1736
60 56 4337
43 17 66
32 35 7605
75 22 2625
74 7 3084
83 44 9706
80 0 8924
98 89 3835
43 28 2875
43 61 2918
70 2 31
77 47 8768
71 8 7678
36 51 9664
2 63 1032
81 3 1715
28 51 6733
75 81 2478
23 42 4387
94 23 3729
40 57 5620
92 97 2788
99 53 4359
54 35 5995
35 83 8613
58 21 3365
29 4 4353
58 57 8661
38 58 7264
21 6 4894
91 66 626
55 53 2631
43 56 6501
25 46 2325
2 87 597
89 73 4822
90 10 7091
35 33 7521
71 40 2961
11 9 289
95 97 8404
32 34 5493
7 19 6030
23 87 7685
65 53 8869
11 66 6734
41 97 3918
96 98 8147
48 44 8065
52 64 1808
17 81 1565
95 46 1013
21 3 7707
47 97 5538
98 3 5198
48 4 4609
69 98 54
20 89 344
94 2 6024
3 48 685
34 82 9931
20 91 631
85 1 2018
17 99 3711
21 75 7446
47 85 4010
93 11 281
18 75 1864
52 36 6858
54 85 2788
89 93 8243
53 44 8552
22 44 5818
97 66 5683
85 43 8076
79 25 6864
6 22 3242
66 67 8745
66 50 262
99 14 9760
48 5 8107
85 57 7206
18 60 1044
92 17 3052
20 41 5332
61 12 4718
53 81 842
92 86 3362
52 12 1720
83 22 6095
44 1 9480
88 18 262
70 63 3049
90 49 6451
92 7 7971
24 39 9309
79 72 2684
38 73 5279
51 47 2572
14 67 6584
95 18 1025
1 59 8070
57 48 2629
6 72 3680
74 60 1831
57 45 1435
38 96 7812
11 72 1996
24 94 3689
37 77 333
62 20 9595
54 48 8488
28 2 3670
25 76 134
90 68 8074
67 76 1215
27 97 9114
12 97 6130
25 96 8141
11 10 4192
63 91 9478
55 95 8084
33 96 5297
42 29 3797
5 74 4541
68 73 4456
56 80 3540
51 90 1301
86 59 1251
34 65 7972
90 84 7427
86 9 7570
32 80 262
85 41 2520
41 20 7934
49 63 7396
29 75 608
9 43 620
67 35 6054
46 75 6911
41 44 8727
94 30 8819
48 66 3611
35 87 4641
38 74 1654
92 20 7064
69 83 7209
80 14 749
1 9 3113
42 95 611
53 7 2649
68 92 4865
94 70 315
60 50 96
61 7 4439
70 59 1374
29 9 9344
17 14 1601
26 49 4016
53 90 457
51 21 4909
64 39 411
91 56 9984
94 72 5515
25 53 9206
97 81 7178
5 87 8562
82 77 6914
93 76 4902
63 77 7873
30 99 4608
70 0 6334
21 8 1291
12 53 9080
49 5 3839
93 64 1781
96 39 9610
56 87 7277
78 85 3346
96 19 3222
79 76 9207
25 87 2031
47 13 5459
94 28 5317
59 61 876
1 15 2145
3 27 8920
76 65 9344
89 40 1309
41 62 2052
33 34 7167
36 93 5841
88 74 1539
63 39 4863
61 52 6145
84 14 3954
49 17 2372
93 12 7749
30 58 9195
26 93 5635
40 35 8188
97 70 7148
45 29 8771
33 84 2471
54 90 4771
32 21 9203
7 98 3720
62 93 8674
35 93 4779
44 3 291
83 61 3268
90 22 8423
98 44 7488
56 38 3795
92 94 9177
2 11 6542
79 59 4579
72 9 3918
28 30 631
40 72 7865
41 86 9890
96 86 9853
11 46 5281
14 23 3525
8 88 4158
2 41 3290
25 33 1455
31 80 9825
70 55 9992
81 38 2617
72 45 4833
45 51 9826
56 73 5480
35 59 5341
40 21 2458
92 71 3110
77 97 9860
27 88 7628
59 42 7818
89 91 3006
98 13 3444
7 70 2150
21 45 9838
20 26 2001
96 12 6817
7 23 7354
16 3 7302
50 34 5076
50 82 2653
8 16 4801
58 84 5978
55 99 877
42 14 7742
56 97 2816
73 54 620
92 1 6121
42 86 9923
14 83 7551
2 9 3787
19 48 5123
15 49 510
50 8 6172
82 85 3572
29 65 9849
2 31 8778
35 18 3409
17 24 680
95 14 6182
85 86 7955
95 91 4298
38 75 4932
35 21 5796
16 32 2267
49 53 4925
21 29 8668
79 58 4658
98 39 3734
87 81 1987
44 41 2339
4 74 5626
0 10 1773
45 87 6677
81 60 5196
54 44 4046
18 62 5396
10 88 4928
56 53 2849
63 19 5163
92 22 6089
71 94 5857
77 33 4181
33 21 8147
19 96 4622
51 84 7804
10 70 6840
21 44 2846
65 77 6446
86 42 9084
41 81 7347
8 83 5490
2 66 1429
95 86 9345
5 44 29
16 15 3453
66 26 8831
23 98 7377
24 54 5169
82 87 5012
83 42 2141
57 59 3964
13 73 5895
6 78 958
44 83 8941
65 47 5403
9 41 7350
57 80 459
24 25 6340
30 26 8219
78 42 5393
65 61 6192
73 65 6669
74 99 9460
13 71 5804
64 83 7833
68 53 2879
79 44 2013
53 87 8664
64 68 6834
90 39 5172
12 33 86
81 40 332
16 34 7174
75 4 4141
14 8 2602
0 75 1215
50 1 169
29 5 5859
60 71 7965
87 45 7478
37 21 886
58 99 5712
16 62 5512
93 71 8054
59 49 1310
8 65 8364
60 6 208
54 88 755
72 83 4630
0 64 8741
36 44 6743
78 41 5001
64 50 6291
0 78 191
87 44 3492
5 76 8649
36 13 4057
35 67 7093
88 75 7922
33 40 4859
28 88 7317
75 51 7217
60 45 45
47 11 8789
78 98 2679
42 19 8998
89 75 5132
52 62 7435
66 24 4354
38 18 2714
65 50 2328
25 97 4509
52 58 8398
5 26 4342
2 51 833
13 76 8966
82 65 7555
82 2 7333
87 63 4226
55 3 8738
82 91 5412
19 35 8764
70 12 5361
42 12 257
97 72 3799
82 80 1069
17 94 6289
94 60 5950
88 32 1899
80 47 1381
97 88 3619
68 16 4174
53 46 9171
71 91 4711
63 81 3125
3 51 309
90 44 5309
22 20 1147
45 72 9739
80 96 1625
43 18 9239
61 8 4616
61 16 7900
25 22 3842
17 74 8655
76 45 6505
91 29 7570
85 96 7772
27 73 2665
42 39 2414
91 25 9463
56 12 7276
50 91 3906
74 3 3922
65 79 1108
2 99 6770
98 10 3120
14 59 7546
14 71 9619
52 73 7183
20 39 7073
46 66 6409
31 23 1149
29 39 5197
92 83 2460
95 43 9723
16 92 908
12 73 6727
65 84 1715
91 7 1024
96 65 9190
6 92 7031
9 70 1411
62 66 1697
3 54 2677
23 83 1879
10 14 1799
63 96 3646
0 92 7653
57 46 6661
2 97 9764
84 23 5365
46 90 6804
30 49 385
97 95 5566
62 82 1177
11 84 5620
5 81 9055
72 79 7563
7 67 8601
32 15 8898
23 75 5312
87 16 1670
62 17 8722
66 10 5530
8 47 1739
89 81 6338
5 69 8798
75 0 856
8 26 9645
60 17 9603
18 98 6065
22 83 7904
55 43 3404
8 58 6628
36 65 9090
84 49 2320
21 31 4670
77 13 6716
88 16 1842
49 11 8822
55 23 6065
51 6 7428
74 62 2161
36 71 2645
37 13 6617
92 38 8307
83 43 9067
60 38 9851
55 74 5971
96 60 3902
8 81 6468
71 38 6366
7 58 6161
24 58 9600
3 29 2001
71 19 3706
65 29 2847
90 3 3399
85 71 7643
51 28 987
18 55 9977
50 58 3758
63 47 5068
76 78 9718
90 54 271
64 80 77
96 20 2729
10 84 3075
90 14 6385
97 68 6361
87 95 3575
45 98 502
3 95 3317
15 61 4022
31 8 9901
28 39 6876
5 85 5472
17 48 9472
10 1 6964
40 56 5545
76 46 4699
92 33 9597
75 85 3633
92 70 2354
51 54 6241
39 3 9095
71 85 828
51 70 7048
15 53 1510
2 23 9181
76 47 8509
66 65 725
62 7 3889
14 4 6093
63 30 4027
30 15 7139
9 13 9301
23 22 502
67 98 3486
59 13 5498
93 53 6227
6 37 1760
90 76 9391
21 13 2420
69 73 6109
3 6 9260
86 89 881
96 76 3036
11 98 1359
44 54 1058
61 59 6378
35 80 8710
57 51 5816
81 42 9537
67 24 7147
42 30 7140
43 70 9157
32 96 503
45 74 4100
83 3 4521
25 82 9882
10 33 2315
30 87 8920
35 36 4032
97 99 3538
98 92 9196
13 68 7565
41 70 3350
49 10 8120
75 54 4237
40 74 3079
2 79 4505
24 61 8786
16 11 8940
33 24 425
41 7 1144
45 62 3435
7 36 7162
58 6 4045
48 51 5038
11 95 7387
11 7 9355
26 40 31
81 75 5050
3 46 1792
24 89 2325
9 14 252
79 92 2300
56 77 4122
98 95 3153
0 97 6055
33 75 6170
90 4 7576
6 65 4683
5 30 6708
97 14 9502
88 80 2972
73 11 410
87 66 9405
58 15 7664
25 98 9335
92 48 1712
56 22 8447
32 3 5343
22 5 5113
32 53 798
85 95 5602
11 28 4969
56 37 4498
90 74 9674
72 25 4049
30 38 4803
83 37 1021
52 86 5918
5 10 5240
54 36 3929
88 46 6423
56 14 6556
3 66 7767
4 91 3785
60 0 4121
75 13 6988
15 50 184
41 83 1630
28 31 9035
4 63 977
94 26 8747
18 21 7255
83 56 1174
15 62 8792
79 65 3252
75 46 3663
62 31 2523
11 34 4307
34 6 9324
3 67 533
21 59 4999
89 19 8645
73 80 3967
39 10 296
36 18 9934
74 84 9356
69 88 7882
40 42 855
93 4 7625
78 29 8347
10 76 5678
89 59 7381
15 70 7251
56 28 2816
41 98 2993
98 50 3863
82 31 6811
72 73 1000
98 77 880
40 77 4944
75 48 9991
56 45 263
78 44 3270
36 45 8340
65 87 6710
16 52 4639
51 49 664
88 64 6025
12 87 9097
7 42 7785
1 48 4431
33 18 4617
68 41 5392
47 34 1163
15 99 9980
37 0 7682
46 60 925
59 83 2329
41 37 5181
5 21 6579
4 0 7059
87 35 140
67 81 3998
9 62 911
82 17 6379
57 71 3089
58 7 7913
85 37 2611
0 55 1064
38 81 1429
79 2 2012
10 94 7064
22 34 5994
95 31 8244
84 36 4551
49 43 8324
29 78 3609
12 89 4154
8 93 2547
69 81 2899
31 32 4214
84 28 6905
81 22 4427
19 24 9637
37 96 6335
40 93 7299
22 98 2392
42 22 6018
4 54 887
78 37 2232
95 33 1171
98 53 5803
44 30 2251
95 98 7137
47 3 279
65 68 6945
20 65 2392
27 47 5516
24 46 3710
87 21 3944
64 71 94
99 36 7552
28 72 674
29 86 6987
1 10 2264
70 96 568
23 32 277
88 47 1521
61 99 2119
69 55 4952
87 92 3902
44 72 5102
10 87 7690
19 4 2947
41 52 3216
63 31 5897
79 40 8728
48 43 2820
63 44 9957
67 73 4386
6 69 8063
70 5 8477
57 73 5822
74 56 3330
50 9 2499
8 79 6779
0 80 5733
36 59 2396
54 12 414
11 15 6720
84 69 4431
32 16 5673
42 2 6266
86 4 8885
84 73 9968
68 1 7757
65 7 9979
76 86 2438
15 41 698
85 3 9566
55 65 8275
20 14 1788
62 21 2846
12 55 3741
21 74 5014
17 98 1879
29 42 2224
24 80 8400
39 1 6201
1 83 5240
75 33 2837
29 82 7584
48 8 2383
53 79 2239
64 85 3609
21 55 1685
13 52 804
95 3 4561
67 79 422
11 81 4406
61 9 8517
97 98 6490
49 34 7686
80 79 4153
79 77 2123
96 56 109
98 83 6626
98 94 8121
91 11 2909
6 42 4973
13 5 1139
78 26 5059
66 1 8272
75 18 3893
53 91 946
69 43 1770
35 86 4067
61 31 1511
22 18 8173
31 6 6571
92 11 5667
2 59 6976
21 1 7184
52 28 5248
16 33 4505
65 43 2971
70 36 8635
70 65 3082
11 80 6180
45 47 2142
54 17 418
31 90 2830
75 73 3782
4 97 8639
63 2 3668
39 25 6985
15 87 4075
5 25 500
86 33 1951
73 78 7587
54 95 9432
73 37 7231
6 29 236
79 84 6578
72 99 680
12 69 2886
91 81 8162
71 34 3217
64 91 28
22 48 8862
99 59 7869
1 54 1003
74 2 5776
29 71 7914
62 53 3018
55 58 8817
83 60 5255
54 10 8060
86 74 4144
26 20 9544
64 8 693
23 18 549
8 95 6061
35 88 6983
23 56 9535
56 85 2876
59 81 1920
23 57 6955
24 71 4115
69 38 3943
35 49 2745
16 53 9669
4 50 7262
58 28 3240
89 13 373
61 89 3007
67 82 1853
93 85 395
5 41 1353
27 41 181
23 70 8480
69 21 5183
69 70 9620
72 21 4645
53 20 1503
40 48 4380
74 93 8608
58 2 2974
53 82 2801
25 71 2682
83 86 8145
3 55 7876
78 15 9632
10 58 6757
43 2 2876
9 40 5020
83 28 4857
63 97 6860
67 46 4544
96 9 7868
43 76 9476
26 59 968
51 43 4458
33 77 8589
41 4 7110
41 2 8604
57 90 1381
18 52 5689
97 39 1143
42 65 7315
88 29 6977
17 60 4401
15 96 7164
76 90 2453
41 36 8423
87 7 5395
22 99 1601
50 72 5202
25 8 7795
93 2 5278
41 49 3770
57 3 294
64 3 1559
6 45 7945
52 9 5497
44 34 2633
49 35 1127
83 82 830
19 43 4278
49 8 7772
24 99 1959
92 51 5553
73 44 9661
74 53 8251
84 13 492
13 15 8833
71 81 1746
44 91 2346
88 0 6015
71 75 529
11 69 5856
99 12 6262
83 55 6257
74 39 9384
7 35 4181
67 88 4041
14 40 3569
66 3 153
84 75 4564
69 2 4923
60 8 8426
49 94 3246
67 86 8262
87 20 2868
6 81 3439
74 48 84
12 32 6224
28 5 6711
78 5 2136
62 84 9544
32 99 3780
83 35 5512
48 1 861
71 68 4073
99 10 530
64 53 1024
52 30 9007
72 98 5042
98 47 753
46 83 4902
20 40 892
21 38 5126
24 38 8949
61 54 301
58 92 5120
10 57 632
56 76 3850
12 19 7556
26 95 6065
47 5 2746
69 64 9587
82 7 2556
7 54 2901
25 93 9949
66 53 6432
55 2 3729
38 83 9680
86 46 8847
