1000 97923
389 960 4351
363 699 686
748 222 8058
318 220 9434
21 616 8652
101 320 8463
83 896 8885
547 989 9110
582 431 4187
472 960 3138
460 626 2386
600 663 6561
365 886 5230
88 165 1544
582 840 5129
634 976 7462
142 130 7325
8 301 853
497 675 3334
127 854 7492
731 112 7805
443 874 4972
156 445 7154
442 935 1363
839 398 7429
462 974 7030
358 380 3298
298 272 1184
258 400 5345
454 747 3281
915 546 2209
498 282 1648
806 514 5577
101 610 2536
908 525 3254
248 779 1926
272 996 1725
304 904 8864
979 692 386
619 245 9711
939 943 5550
189 94 729
451 844 2573
585 509 2037
800 963 7708
367 755 6834
574 744 4522
313 534 8285
596 921 8606
953 697 1373
333 273 7205
990 599 9736
429 736 6024
121 172 9999
68 207 1444
809 335 718
890 60 3388
206 655 3669
702 224 2943
314 185 9123
217 68 5235
989 785 8067
185 239 1846
28 947 1297
276 98 9717
716 341 918
186 384 790
561 429 365
478 222 3821
456 960 31
185 363 826
487 24 6433
343 8 8100
801 760 4062
227 758 7985
570 901 2753
748 413 4159
436 265 7577
178 64 4407
278 758 6411
437 792 6209
12 693 6178
907 410 9954
395 308 1045
589 18 6175
304 973 4379
975 72 1004
33 486 7581
29 73 3873
412 178 2704
45 306 4077
366 34 6107
782 581 3484
878 721 6268
789 349 4340
162 363 6494
983 637 9311
707 235 5017
932 820 248
278 792 4163
999 916 7099
615 743 2251
369 184 2381
833 481 5482
724 787 3729
239 540 5319
421 328 4969
184 363 726
378 280 466
855 269 2133
460 559 4393
75 330 5538
282 980 7054
213 30 8094
646 616 6196
516 928 4491
741 608 3121
898 384 1972
612 232 4883
579 929 2797
276 621 6485
920 580 4555
213 941 1951
683 923 8500
322 914 7612
811 232 3341
847 127 9528
70 717 8977
914 544 1327
807 308 423
453 63 9655
602 625 4246
375 450 8608
168 283 577
525 356 9760
691 1 323
978 145 7539
481 845 8190
68 327 1636
817 629 3185
708 847 9790
865 387 885
337 425 906
553 462 4567
64 105 4880
120 489 8434
259 778 9458
903 782 8257
47 425 6159
288 795 2724
284 253 6614
584 811 9713
169 328 8712
863 502 8923
27 650 9647
677 836 4410
907 808 432
482 329 1080
681 143 9332
481 43 8056
379 472 5734
465 776 4579
547 784 2189
40 849 8065
994 368 433
959 911 6884
226 219 563
60 159 4818
553 476 6417
738 93 7346
361 902 2425
489 249 962
34 598 6412
713 400 1001
882 24 8059
59 575 5455
952 105 6768
769 640 1643
788 262 6248
172 565 1440
50 58 2906
611 301 9647
23 18 5312
120 618 4516
793 167 2388
967 389 6454
237 122 8777
980 474 1941
863 705 2625
71 450 9706
936 969 4120
862 613 3757
882 518 5927
914 837 6169
856 563 7486
591 458 5732
558 190 4961
5 270 2372
545 926 4008
738 806 8833
822 877 6223
746 54 17
54 897 9844
63 198 6861
7 634 5445
454 668 8664
735 395 9846
421 205 7627
112 536 4112
648 911 3849
682 392 8825
770 371 8596
491 349 2304
787 244 4622
42 395 4857
874 733 1733
880 109 4705
834 6 9029
363 355 3408
134 295 4825
416 859 729
161 728 3081
981 537 6608
351 905 5288
410 641 8722
882 656 9285
27 428 8843
6 616 720
53 951 8583
47 597 9415
61 645 3891
133 220 8984
563 107 9108
381 287 222
917 598 7096
264 136 8531
543 847 8523
869 307 9276
806 216 6295
798 179 6366
919 954 1571
777 209 696
737 450 1234
252 848 5065
604 783 9804
517 821 2162
976 534 9596
556 316 4897
783 503 2006
482 926 9136
168 613 6321
396 55 4030
30 595 4940
443 641 5526
661 412 9260
661 425 5346
743 44 9529
391 852 905
523 166 8073
874 924 6503
835 869 6617
167 195 4767
401 182 7463
198 433 1760
569 951 943
525 389 8921
294 27 2486
475 183 2024
197 281 3449
109 356 1461
83 537 2484
552 926 7954
102 95 1993
644 515 8278
784 360 7342
778 626 195
152 396 6744
76 27 9491
619 649 7971
674 583 81
251 300 3291
779 10 7844
188 163 2857
244 844 3203
854 606 2028
149 989 2234
669 400 3281
687 515 8440
886 687 3425
620 646 9457
28 881 7950
173 325 6149
273 276 2669
427 395 8707
101 949 6808
637 843 5089
853 49 324
460 536 9689
596 159 1426
350 230 2894
943 66 2274
10 872 6733
335 11 3543
917 146 3154
2 252 3023
421 525 8914
0 335 5005
676 504 3966
794 438 1407
410 69 5125
898 79 7990
885 399 9729
746 603 3387
537 21 17
337 238 1956
734 373 3183
301 178 9539
768 167 5989
332 113 2642
299 815 3333
417 336 3590
976 719 1530
798 276 8974
520 575 599
974 371 2722
641 339 8485
373 174 4186
118 419 5513
151 908 4922
744 28 5980
579 436 7437
188 105 8939
128 43 1351
748 633 1856
592 853 3861
772 553 8526
3 835 5351
583 667 9464
732 979 5333
862 636 6139
147 685 6809
899 813 7485
768 337 2581
166 303 478
278 100 4840
556 813 1553
602 521 7026
688 871 401
893 222 7504
427 809 9891
131 920 60
82 95 5530
860 444 9356
643 342 5966
377 565 4724
276 929 6720
269 658 3165
347 652 4262
901 258 4643
303 245 4485
417 529 7518
722 638 4005
1 792 6633
557 725 8961
510 844 2211
977 498 1142
320 732 7649
342 589 8218
547 231 26
290 876 5536
815 404 4066
732 449 2372
363 618 8028
853 720 5623
287 731 4960
8 746 5608
4 604 581
127 488 262
27 788 1995
615 198 9121
909 303 519
786 699 5573
796 558 6937
714 495 5420
602 221 775
390 35 3775
347 301 9281
758 158 8617
661 218 144
991 794 3602
144 597 7763
169 241 8603
864 300 7407
896 540 899
569 172 3815
381 3 7750
156 504 6619
419 450 8345
682 617 9092
310 34 158
396 104 8477
61 153 2451
694 155 8624
759 889 9737
359 240 3188
30 258 22
178 118 2979
350 571 3574
806 64 1545
453 324 9224
630 335 6521
959 623 9859
944 530 1927
517 890 7169
888 340 1641
830 372 5473
758 490 5562
727 668 4313
161 10 2248
863 116 2822
429 671 2832
620 594 5540
896 617 896
430 815 3713
656 741 810
343 989 2725
431 168 7906
419 193 4084
663 978 8033
576 980 2344
553 732 8098
448 870 4326
755 903 4835
444 522 8266
172 268 7378
93 357 5438
824 769 3263
70 888 3666
853 200 721
179 546 354
299 742 5990
861 63 7114
817 630 3546
911 538 6198
427 773 4578
214 60 7172
726 150 1744
614 24 2333
440 141 1541
525 189 2826
140 263 2838
96 196 9626
261 307 2250
796 346 6758
744 793 4821
437 160 2659
746 189 4350
998 740 3012
91 499 1836
269 643 2284
794 211 7092
916 377 8341
446 779 9311
842 78 1457
981 325 8595
443 655 7754
460 183 2189
457 294 3408
813 663 2715
11 288 3699
478 389 9878
505 2 8961
436 811 6325
915 58 449
990 233 560
745 676 1315
189 533 559
302 245 3374
829 597 883
845 623 7725
925 845 8657
854 538 421
623 280 2661
398 27 4603
961 686 5876
704 681 5283
903 949 2711
243 24 7310
289 634 5428
451 720 6107
168 552 5863
773 325 1042
20 600 5132
175 233 7100
623 594 9774
642 432 6876
519 644 9933
100 19 6984
25 618 9532
742 298 9319
431 515 5508
610 874 6712
329 95 1614
891 431 2516
58 342 2522
863 693 1944
255 819 8460
896 576 3492
953 879 8273
789 385 3328
510 77 4809
177 243 2979
211 977 5325
138 137 1356
150 125 2666
778 534 2271
53 351 6980
787 979 779
868 392 4372
457 565 3941
342 736 9960
439 978 1105
653 945 8446
898 779 4318
596 607 8689
761 393 4554
11 430 9141
563 261 5365
804 111 1765
756 975 5873
231 713 2856
746 560 431
642 974 5169
545 384 5861
589 571 7008
831 987 2954
936 225 3227
844 196 3012
317 330 5415
466 433 747
573 433 7777
44 184 8786
132 958 3014
754 835 2021
790 120 6439
669 144 6370
685 169 3285
660 459 17
634 902 1050
617 336 8447
714 279 3072
141 232 7129
811 243 4174
593 235 8765
14 60 8706
794 103 8136
327 299 6969
556 391 8945
919 473 7742
186 150 1745
496 199 1636
498 507 1928
454 264 3800
142 339 6978
419 819 112
840 368 604
988 176 506
3 192 8255
102 609 6842
356 131 7563
61 358 9171
493 358 322
716 640 5511
116 131 4207
424 765 6731
417 663 4176
760 137 7794
717 612 8925
424 818 7193
722 441 4996
596 757 4606
977 316 1883
284 154 5921
37 723 2153
441 521 2596
500 100 4589
190 359 10000
209 969 5554
503 410 4923
247 185 310
412 64 5324
792 851 4111
210 188 2343
842 898 7769
618 394 1600
657 742 6544
508 967 8112
963 187 5835
146 300 9412
487 350 4779
294 969 8968
424 756 9517
850 18 6640
55 304 4737
184 507 9492
562 73 2843
441 687 5654
691 369 3832
619 768 9733
391 812 3966
133 674 7583
559 746 7678
64 537 8689
759 174 7609
738 254 5251
861 424 6206
692 248 2404
551 815 428
997 941 8879
701 620 4725
950 881 9848
761 213 1064
33 734 3069
74 258 8177
925 992 9583
374 231 64
372 348 8640
649 335 6319
341 360 4989
519 845 7618
430 202 1635
248 725 1155
510 292 9953
926 222 746
319 543 8881
143 665 3657
102 139 3308
487 379 3607
187 537 4166
428 969 7413
176 522 9984
411 702 1008
124 722 3067
596 44 4835
430 333 4583
811 236 1980
51 139 3181
713 800 9434
317 806 4910
878 690 2402
638 583 6644
393 868 6574
157 276 2637
590 894 2008
979 531 2054
277 389 9128
867 378 4682
612 240 6043
598 335 2577
547 387 2661
656 977 4117
732 901 4869
930 450 7329
95 182 9232
223 807 2380
114 560 1948
442 741 9097
975 674 5768
118 282 2126
353 795 704
457 17 2978
147 845 3070
780 430 8726
62 417 2099
902 282 7902
770 183 5
39 576 6175
479 786 4785
630 848 8486
904 944 1957
244 753 7606
940 461 7413
707 137 5832
373 365 2928
833 48 619
429 415 4268
467 354 8760
71 616 8196
473 104 2916
757 411 5764
352 379 8875
379 663 5976
493 200 1620
938 336 3052
700 850 992
572 372 3893
640 401 9423
660 443 2918
215 461 1535
902 428 4249
702 498 2154
77 168 8507
392 357 1662
180 784 8827
143 710 5192
531 586 2941
730 583 5789
799 457 5943
196 974 1306
786 576 2682
184 292 823
815 391 3489
460 894 8767
594 773 3158
883 664 8758
169 987 3326
595 91 29
336 406 2440
291 607 4759
525 528 1337
556 794 5540
50 87 3982
771 272 1290
649 824 4122
889 881 2268
772 241 6528
68 164 4435
899 916 7107
918 20 107
907 179 5896
866 445 8062
617 437 1754
847 841 6010
242 71 8764
970 204 535
591 82 8870
724 480 2348
723 706 7145
983 443 5921
925 794 2113
87 563 7994
145 992 710
785 887 3720
767 776 4644
339 49 5526
777 566 6807
268 384 2236
972 382 6079
518 587 6225
825 852 7236
549 916 3367
464 604 9329
729 660 5017
741 303 5516
362 810 8586
795 856 8533
617 0 8247
588 870 2135
874 245 8126
838 525 8748
405 864 8037
550 489 4239
553 467 2496
619 103 5013
105 558 6926
429 293 8061
853 519 1727
325 389 5995
981 98 8105
917 677 2645
237 967 5024
328 510 9141
163 999 8245
686 367 8422
72 884 3208
413 323 2681
88 658 1949
409 187 4412
858 606 6617
749 364 1374
47 186 346
722 295 8786
513 816 8531
674 278 6085
119 574 7317
11 600 820
168 379 5688
186 702 4522
497 69 5243
791 928 3003
185 407 3446
304 102 7703
337 302 349
585 438 9568
414 739 6316
210 342 2069
60 437 398
304 765 7816
420 779 3106
315 233 1947
207 363 7394
278 877 8404
846 561 8127
66 732 7513
429 324 4605
629 145 1489
418 81 8474
169 438 7552
950 337 8162
48 685 5589
495 818 889
617 993 2066
722 213 1160
188 325 381
19 597 6883
183 171 7494
22 219 6283
795 634 8983
365 904 1300
765 941 7699
861 667 5270
334 285 5395
540 137 2539
537 557 2417
635 948 3510
150 204 3916
851 72 4731
752 568 2828
300 920 7560
699 631 6671
260 828 6364
703 295 8806
44 797 1404
382 821 7393
227 282 5040
3 555 5128
33 676 7785
303 39 8961
276 969 1666
614 87 4780
551 706 3135
779 846 2810
84 67 7176
751 65 4485
134 80 6692
677 495 3339
141 7 9640
746 433 7817
941 943 1449
237 499 698
389 518 4536
435 789 1985
152 365 3803
183 293 8690
758 345 2525
415 825 6159
169 316 5734
337 406 1439
127 67 2255
750 619 4510
495 131 1985
977 442 3833
7 354 2413
94 830 7421
341 597 9581
133 276 2579
519 14 3018
327 831 4980
99 534 7660
983 603 3605
646 690 2272
582 322 7756
430 158 4554
285 193 8201
68 88 2473
208 733 5531
634 545 2372
100 381 4499
380 876 966
894 202 1530
722 844 5459
913 449 5237
156 302 8866
773 21 2084
730 534 9798
697 873 5270
93 793 733
893 411 5887
358 978 7414
187 326 7692
760 835 3943
52 422 9477
615 759 5088
729 653 9665
537 600 4199
919 800 9728
51 365 1177
946 728 3703
858 936 6612
746 893 7874
871 869 183
356 753 9478
831 555 5193
785 812 9191
155 49 387
667 434 4932
939 695 184
285 87 5305
843 294 6043
625 18 609
336 479 3170
757 228 5448
460 406 4329
716 966 5421
239 45 343
62 493 7647
190 529 2041
118 478 3501
759 588 6431
950 628 4249
551 176 1567
576 977 121
478 57 3890
237 59 6367
713 630 952
495 656 142
884 920 4118
686 368 9432
328 490 1874
509 51 7774
989 409 5001
510 840 6795
315 605 799
524 405 826
256 828 4555
658 887 6093
910 493 8418
41 108 5619
383 562 8481
966 693 3480
794 516 2455
147 404 5233
977 85 728
849 906 4616
421 999 4423
652 286 4966
983 898 5106
466 609 4782
80 141 2696
657 793 7006
981 149 9792
94 878 9724
964 915 5058
167 641 8030
861 445 5824
976 530 2718
188 70 3378
216 404 6470
786 172 5580
855 117 2362
153 914 6532
516 493 9307
224 485 6064
608 301 9371
916 650 6218
158 716 8331
405 971 9842
95 6 7074
417 164 9890
993 936 7713
241 625 7309
260 990 7618
119 452 319
43 486 6674
872 372 9864
635 231 9356
676 867 6116
747 950 9438
922 556 9847
928 740 3507
581 445 6270
67 253 6777
313 823 2638
349 209 4792
591 840 1988
466 37 3233
148 558 3916
114 550 9930
625 244 8724
251 665 1314
982 957 4062
667 102 5886
361 729 5032
799 217 221
144 636 6634
413 765 2750
322 0 4783
89 586 5506
372 676 103
344 362 5816
851 190 6392
970 902 9709
879 803 1471
516 180 8886
863 184 6931
462 74 4528
327 271 341
394 374 790
61 336 1766
969 772 6449
670 123 5543
712 328 2277
9 975 9526
707 292 2741
933 959 5225
653 617 2806
578 352 405
633 331 6704
907 312 3001
18 222 2709
37 761 6342
265 970 2508
663 632 4170
164 142 6828
322 581 8898
515 171 8635
852 107 741
657 852 6098
151 850 2933
812 512 3464
640 744 3651
34 758 3049
263 787 2518
180 480 8244
890 999 6662
27 383 3019
351 709 2676
755 198 304
230 502 84
821 834 7483
6 269 9379
607 379 8993
977 207 530
631 400 1758
388 493 2753
664 758 9823
26 883 4172
245 150 8749
213 806 3854
67 288 5281
601 96 3447
521 934 2473
975 913 8380
801 71 2549
859 934 105
153 51 5209
783 710 3558
373 642 5926
705 439 8841
971 74 7750
371 919 4991
298 803 6878
336 849 98
656 674 3190
418 896 1057
375 159 1097
841 37 3952
740 303 4429
148 289 5324
605 564 8975
165 230 7576
779 985 652
666 701 489
685 705 2968
257 281 303
86 275 1095
517 755 4666
773 821 5421
712 969 1398
415 242 4997
612 409 2606
923 527 7481
279 561 1548
104 579 3922
899 4 610
967 219 1886
990 895 6830
853 235 1107
510 148 3038
266 648 9397
297 283 6921
278 23 8911
468 71 3057
31 209 9486
294 147 5887
558 821 3284
377 190 562
167 948 2857
864 818 6906
251 193 8725
22 254 9391
395 835 7423
381 789 3677
175 557 1322
291 129 4950
954 842 7285
775 606 3746
819 576 420
644 367 2510
390 442 1022
898 417 5085
0 725 7178
577 834 2445
202 962 470
837 79 2097
99 290 7395
796 772 5196
500 213 3595
734 280 9663
764 129 5924
769 79 3730
765 221 9438
109 407 922
881 204 8873
704 818 5662
374 224 1229
652 374 2848
816 494 8755
729 303 9881
440 687 5431
398 802 3577
693 332 2243
422 624 5387
31 191 3288
221 689 7826
492 163 2654
587 267 1047
543 820 3651
42 414 9525
383 703 2542
174 690 5312
491 748 7616
234 200 1314
158 86 3782
60 561 4585
812 62 2417
116 315 6538
972 406 8800
355 645 3124
684 531 3956
509 525 5693
759 464 517
386 277 3888
505 82 2412
743 587 7728
80 552 3191
164 689 3727
640 133 7660
683 22 4627
671 350 9439
45 132 5168
722 282 3544
844 942 918
487 657 3163
952 790 3222
449 868 2003
397 191 4832
621 819 9663
957 619 8353
232 820 2649
663 954 8633
646 149 1512
616 158 3889
435 585 1823
517 294 8266
83 678 9513
166 788 634
31 528 4865
994 32 6449
431 7 6352
250 783 5985
74 44 4011
985 184 1422
324 490 2771
256 628 5439
648 169 2013
361 275 7868
569 99 3722
352 247 3449
379 612 4134
660 298 8534
654 227 5690
58 152 7804
337 842 4124
806 87 3380
366 725 1449
503 946 956
680 479 7935
544 30 877
101 849 6037
927 167 9133
759 406 4265
891 198 5138
867 780 1967
271 847 7507
997 539 6558
247 248 9689
655 913 131
397 171 6451
444 449 5301
795 69 9970
495 83 2735
554 398 9874
718 320 8306
13 511 7223
153 646 9165
380 742 6163
162 289 3128
372 346 2177
403 735 4955
5 687 2318
193 565 211
195 403 3212
738 307 4479
56 640 3471
777 4 1588
572 258 2087
419 716 9624
734 394 9913
126 598 5359
201 533 5380
751 875 7668
520 968 6482
140 915 3648
470 832 7301
841 425 993
866 208 3192
718 374 4517
355 2 8656
580 89 3324
10 34 7702
938 845 1925
453 370 4315
956 173 6556
184 200 9734
23 573 1053
152 471 7266
117 579 6278
169 642 1726
540 974 8395
937 848 4362
202 864 6248
174 106 4271
379 47 5189
965 316 9313
670 239 8670
513 899 8553
28 165 5281
682 282 4508
364 47 104
627 729 9852
787 661 1477
48 474 3364
35 307 4501
334 605 5588
357 889 1562
116 375 7018
165 171 6895
148 251 1995
759 341 6240
167 661 3563
328 501 5655
924 779 2293
444 20 3219
264 594 5785
709 425 6807
222 927 7471
680 991 8162
732 476 6159
501 232 1790
41 32 8599
253 561 9192
200 154 3064
650 80 1301
504 901 2106
376 646 5157
820 685 6803
33 483 5716
727 812 9208
580 981 1640
602 76 5892
787 660 3027
819 727 1322
585 798 9227
808 282 5303
836 464 129
256 681 7864
160 418 67
455 761 4239
857 252 3279
617 504 7505
152 151 7371
747 57 9028
886 605 1932
156 106 9645
829 217 5009
978 415 9428
43 820 943
681 881 6344
970 670 2085
341 452 8735
131 325 8281
706 849 7660
295 238 6193
612 320 1782
631 790 2022
889 138 425
99 63 7566
496 715 7457
849 925 4264
367 812 9868
552 566 4742
449 811 407
473 545 6622
563 607 6887
348 964 7457
90 541 2722
798 664 9468
460 500 411
774 915 3281
573 874 1218
565 568 9409
18 309 5663
889 932 1017
379 455 716
276 364 5685
680 839 6022
617 447 881
502 442 2767
545 160 9506
847 421 3862
354 246 6489
992 604 5312
361 23 4531
227 184 4255
796 544 1386
232 236 8702
576 490 3446
357 431 2106
714 119 8423
33 263 6361
731 555 3565
869 173 3908
402 934 7035
527 91 1946
563 57 8447
518 284 276
922 711 4853
591 886 7915
426 601 3251
999 848 9836
834 432 7311
902 928 111
534 124 7484
606 597 482
616 668 6369
65 404 8302
260 842 7207
77 300 7304
630 753 5630
736 502 8171
288 714 7862
389 628 4407
949 385 9393
641 369 355
655 870 5312
813 19 2311
166 838 1841
836 231 29
510 188 7741
0 185 0
350 490 3205
193 741 2881
945 615 7031
89 47 607
434 165 5206
868 952 8631
291 505 5532
94 905 5173
578 179 6927
37 943 2394
496 300 476
487 468 7649
708 750 5488
276 353 5980
308 381 7640
394 550 9914
273 336 5528
159 297 4476
215 481 9285
426 861 6313
698 549 4874
522 840 7934
391 933 7126
862 610 2289
974 257 3251
210 692 8389
681 750 2052
903 505 1888
40 739 3852
931 191 900
409 889 3790
468 252 6886
892 309 4080
977 882 2173
206 413 8628
329 187 1864
189 113 9194
914 803 8714
938 331 9536
42 445 7102
61 428 194
704 729 6420
146 788 1181
989 476 9650
484 238 5188
885 439 7926
262 336 3245
200 18 3532
120 433 7263
203 75 6569
172 494 5922
489 524 1837
867 26 4879
493 925 7648
398 132 2895
201 162 8075
374 3 2269
231 263 2796
47 935 1423
231 528 1358
895 526 3081
200 502 3697
553 774 5990
345 142 1783
759 934 4875
75 747 1778
629 86 3810
910 802 8849
669 954 4438
285 859 4610
540 4 4619
287 816 3681
440 398 4060
802 89 1338
518 729 3493
684 483 5775
605 238 1166
269 360 4920
360 229 3917
959 561 8266
826 44 3051
699 24 6837
84 745 1983
867 992 4479
643 445 2259
35 790 3893
158 84 3771
198 880 4598
776 382 3199
503 194 7982
814 975 903
344 966 3756
813 251 5532
370 95 3840
532 441 4315
340 755 4610
809 611 9012
737 195 7359
883 155 345
307 229 1392
29 386 3147
538 251 365
477 105 7688
609 65 9585
4 152 3981
709 391 5908
721 917 34
157 772 9922
171 308 476
145 505 9445
348 361 9382
332 865 4657
758 985 1875
841 673 277
607 490 7035
335 597 9281
446 940 6627
950 476 6409
45 137 1031
134 789 2785
708 643 9537
59 772 5237
472 777 8582
338 441 6574
851 74 8612
702 753 3403
279 445 1461
405 465 346
484 840 9613
538 39 8460
966 359 1951
545 863 6362
62 894 5193
592 564 7161
869 452 7066
937 619 9271
927 125 7161
721 700 6142
379 703 2926
991 194 3559
523 245 8180
52 147 3807
202 473 2443
319 298 4369
112 940 3994
441 830 5057
433 312 2490
625 710 5079
122 706 5848
374 123 1564
505 603 3883
303 921 3964
621 983 9914
812 32 5398
833 928 9643
859 7 4541
125 380 7188
356 844 7399
375 563 8710
630 970 9285
26 415 6035
520 201 143
120 167 6386
312 321 433
27 675 6379
96 345 5329
335 271 7264
87 66 8768
44 15 7206
183 71 1805
534 418 6322
361 509 5448
131 6 1885
737 495 3363
0 104 4778
568 730 2318
47 36 9652
80 984 5092
100 264 8571
752 166 0
86 644 379
578 123 192
158 558 5972
365 972 62
112 588 4908
860 290 5385
156 298 360
112 713 3637
759 565 8714
564 310 169
371 391 3238
350 977 6233
712 265 4827
5 699 6122
943 694 9782
802 790 3404
776 149 5629
189 307 4362
391 90 5838
23 297 3368
80 50 5321
894 573 5661
207 673 9467
587 721 8973
286 706 9306
274 673 4243
98 416 1965
471 434 2159
569 833 8354
942 230 63
264 72 5695
689 817 6148
488 913 6775
549 26 2342
183 11 8190
60 99 9304
146 840 3503
796 996 6071
321 57 7720
445 734 7851
746 512 7344
525 465 3096
414 963 3028
49 967 2659
215 200 5921
537 760 4984
745 655 748
886 650 8913
899 376 354
86 914 5529
776 785 3835
77 774 6770
529 60 704
66 64 3400
977 873 13
182 540 3562
445 349 2784
691 64 5670
932 408 5177
345 629 8477
21 56 2612
423 292 3002
891 939 8423
198 996 9935
921 537 3463
923 491 9550
542 869 297
704 946 1390
928 55 5478
8 310 7896
329 682 5430
327 999 1224
108 186 8231
677 318 8950
443 590 851
407 221 767
356 54 4821
829 679 7515
942 764 930
499 223 9732
376 386 3414
404 196 5590
944 664 1924
955 370 8260
516 861 5691
93 993 9531
24 782 1304
603 322 7299
309 676 2212
483 600 919
591 580 4230
976 842 2908
889 341 8437
388 883 489
600 423 1410
440 7 5628
367 217 4509
811 67 8630
931 530 2203
652 479 7010
880 726 4575
882 702 9790
675 84 8458
418 87 9714
210 853 2438
733 482 8825
644 599 8554
24 47 1871
47 673 8674
661 971 3484
736 695 1023
463 511 1316
185 153 2814
732 834 994
458 389 576
74 749 8932
484 240 6647
222 632 4545
683 531 4466
726 992 3586
429 647 1281
521 629 4739
716 31 2696
151 727 1012
745 586 7195
492 804 9875
43 40 5185
15 198 4000
821 746 2536
111 232 1175
604 186 2012
666 163 5897
130 270 8927
262 107 4983
821 334 1205
826 551 5219
567 623 2116
608 236 1582
508 763 7556
990 845 7930
545 853 3729
680 138 7063
951 184 8811
157 126 2774
70 701 2448
661 407 4155
344 885 7257
7 270 7990
864 540 2367
863 809 4846
914 348 2179
326 820 564
280 534 6419
324 508 3906
599 57 3170
918 97 8510
819 514 5829
840 850 5472
53 685 7892
247 618 1602
970 184 6259
386 432 7543
515 950 1847
969 96 95
93 321 5700
973 62 3791
603 556 2486
191 933 368
344 797 5439
237 515 387
69 747 9910
942 432 1732
944 531 8435
673 49 982
550 451 2756
94 262 6647
609 576 5421
216 50 3321
401 565 8729
44 386 222
392 49 9548
127 725 5415
160 71 782
128 649 7452
551 309 3574
135 82 4554
80 928 536
582 133 7687
58 364 2667
586 82 9934
655 703 1431
212 615 666
864 107 9087
521 760 955
782 622 1514
641 862 4366
380 144 4453
469 328 3811
232 69 4128
256 129 3213
393 43 3157
583 887 3805
453 584 2649
508 751 515
61 30 5918
147 88 9635
467 149 6050
650 148 6897
584 61 8162
868 375 8071
188 879 5219
633 923 4490
306 662 6268
466 592 2799
823 246 6666
4 969 9936
425 100 6681
782 14 7225
20 659 2555
945 491 9415
120 984 659
585 812 385
711 810 715
68 345 9615
54 61 1421
445 396 5172
595 772 4634
119 767 2064
321 819 5226
682 514 849
944 924 7467
624 84 6699
686 77 7587
418 307 2159
72 751 7416
341 160 7858
144 120 5470
922 807 8393
726 312 8328
570 165 6618
116 648 3579
911 581 339
537 5 1911
241 390 491
2 638 4244
266 509 5694
210 417 9050
384 668 6720
182 876 8123
186 73 7239
761 844 5302
349 535 3483
713 19 4703
66 233 6285
198 778 5021
304 420 7178
390 364 5385
473 163 7548
823 386 3336
920 202 8396
237 950 239
641 162 7755
815 991 6826
648 19 7908
460 924 1719
619 490 7171
345 953 9721
342 703 8060
719 563 260
293 962 2439
633 585 5054
166 397 9255
194 706 8814
551 729 718
238 265 3455
500 359 9266
2 314 3406
242 761 5906
360 756 5570
822 36 2363
176 506 9721
34 59 9554
464 51 7032
26 457 1698
495 637 9785
248 244 6478
854 207 8279
754 923 3215
923 774 1046
813 642 6729
212 298 2136
273 440 4987
282 986 4340
171 854 3056
138 621 4048
394 657 1333
610 3 1642
632 502 9434
801 642 7401
407 929 9932
707 184 2986
230 490 5680
687 822 6410
743 832 3087
394 975 6948
340 696 1378
797 271 3532
823 462 2843
623 418 6204
622 341 2232
187 920 5582
559 441 5984
482 687 745
278 750 4249
248 387 5572
878 836 6035
854 94 5450
68 759 2885
269 116 3168
155 522 4051
354 276 3464
42 555 1705
